,job,bias,stat
0,DJ,-0.003906034031169625,1.0
1,가수,-0.026464729013646604,2.3
2,가정교사,-0.08562765627178592,2.3
3,가정부,0.03763426667371461,3.2
4,간호사,0.05462799267959961,3.1
5,간호인,-0.16741583415300298,2.9
6,감독관,-0.04647791034058946,1.1
7,강사,-0.05483685410598538,1.8
8,거물,-0.061318512179387774,1.1
9,건물주,-0.15400663113314228,1.4
10,건축가,-0.1117423326034801,1.2
11,검사,-0.06851301280999245,1.9
12,경리,0.042014859169524854,2.4
13,경비원,-0.1547257893675622,0.0
14,경제학자,-0.1973720861872721,1.3
15,경찰,-0.12698638628074077,0.6
16,고고학자,-0.182307796134352,1.4
17,고문관,-0.23353666123679218,2.3
18,골키퍼,-0.10333572616779718,1.3
19,공무원,-0.15054507753604707,1.8
20,과학자,-0.16991357232756066,1.5
21,관료,-0.1209206993779941,1.3
22,관리인,-0.13721962151841094,0.9
23,교구민,-0.1937450801909002,1.9
24,교섭자,-0.18912989195211272,1.55555555556
25,교수,-0.11876572559746457,1.4
26,교육가,-0.1776353864037954,2.5
27,교장,0.013533265218258705,1.35
28,국회의원,-0.20459959688840712,0.7
29,군인,-0.2235353773568436,0.55
30,권위자,-0.1415926916072141,1.66666666667
31,그래픽디자이너,-0.19021675555862805,1.8
32,극작가,-0.12464590747776816,1.5
33,기병,-0.12594755639939725,1.1
34,기술자,-0.21321333889578842,1.2
35,기업가,-0.13139785005575066,1.1
36,기자,-0.08457015819320324,1.9
37,기타리스트,-0.2119005445680806,1.11111111111
38,기획자,-0.10599854837724587,1.7
39,남작,-0.11329355099570515,0.5
40,내레이터,-0.16193508413033464,1.8
41,내야수,-0.19876244695451994,1.3
42,농부,-0.07655225489572537,1.0
43,대령,-0.11809813303563921,1.0
44,대사,-0.09650295930347319,1.3
45,대역,0.02949355222852379,2.0
46,대주교,-0.13791716320736924,0.7
47,대통령,-0.13967874330501817,0.9
48,대학원생,-0.1622253339440234,1.7
49,독주자,-0.1690123690958767,2.5
50,드러머,-0.1621215577141253,1.1
51,라비,-0.10515009798222996,1.0
52,레슬러,-0.11637987835434127,1.0
53,마술사,-0.08599072864645052,1.1
54,마약중독자,-0.1780709835850791,2.0
55,마에스트로,-0.17139883142859813,1.3
56,만화가,-0.1617890077007602,1.5
57,매니저,-0.07220162382247963,1.4
58,명사수,-0.21608095440608488,0.4
59,명예교수,-0.17596576653645224,1.5
60,모험가,-0.21969152867114672,1.5
61,목사,-0.13918044860136236,0.7
62,목수,-0.07807639142468137,1.0
63,무용수,-0.06715611045973469,3.1
64,물리학자,-0.20511990220129928,1.1
65,미드필더,-0.15497378651634164,0.9
66,미용사,0.0013839928123462464,3.2
67,바이올리니스트,-0.14534609529555387,2.5
68,바텐더,-0.06867017529620201,1.7
69,박물학자,-0.20762958656755748,2.2
70,발레리나,0.022998609177090623,3.5
71,발명가,-0.22360421438199785,1.3
72,방송인,-0.05788527070206184,1.8
73,배관공,-0.13004090782808175,1.0
74,배우,-0.009772138188510304,0.4
75,법무차관,-0.20872607351691919,1.5
76,법학자,-0.24805401180643383,2.0
77,변호사,-0.1574322299527009,1.5
78,병리학자,-0.20805466176120535,1.7
79,병장,-0.17581039768122864,1.1
80,보디가드,-0.10131182111732895,0.9
81,보안관,-0.10021802071679797,1.1
82,보좌관,-0.18295606199735226,2.2
83,복서,-0.09840774883608105,0.9
84,부교수,-0.2342307423003953,1.6
85,부동산업자,-0.13551253214515624,2.6
86,부시장,-0.10783928645209695,0.4
87,분석가,-0.21877324423765598,1.6
88,비서,0.09789616813683821,3.22222222222
89,사무원,-0.04185178638625686,2.5
90,사무차관,-0.19874552419144598,2.3
91,사서,-0.1167359678267661,3.1
92,사업가,-0.12560905443709425,1.5
93,사제,-0.057511370583596566,0.7
94,사진사,-0.0929255953184207,2.1
95,사회학자,-0.18252609119143304,2.2
