,job,bias,stat
0,관리자 ,-0.2283876778748588,11.0
1,전문가,-0.18742322201877704,45.3
2,사무직,-0.07714813716645397,47.3
3,서비스직,-0.1627882278433772,65.9
4,판매업,-0.1986512498625439,50.0
5,농림어업,-0.19539263862949197,40.6
6,기능원,-0.22280177325541306,14.2
7,기계조작,-0.20228558672965735,12.7
8,단순노무,-0.11049611869984988,52.5
