,job,bias,stat
175,무모,-0.18287036829601733,-91
176,사색적,-0.17373997182639833,40
177,믿을만,-0.14957800490478235,26
178,분개,-0.1503682108635669,8
179,예약,-0.04202989554823455,36
180,풍부,-0.10129316525886178,-33
181,책임,-0.14156095645222866,-8
182,안절부절,-0.1364690665676882,-60
183,내성적,-0.11936906635883648,4
184,엄격,-0.13897587640210762,35
185,무례,-0.06558117061887603,-96
186,빈정,-0.14553096876390326,25
187,자기중심,-0.18477513426269865,-61
188,자기통제,-0.2031828352984233,-33
189,자기연민,-0.1971630442800263,35
190,민감,-0.020906570423601334,44
191,감상적,-0.1240624358555833,259
192,심각,-0.03401459837584708,-80
193,심,-0.15859018087250787,-89
194,섹시,0.15461417879845207,160
195,얕,-0.1768442767046141,16
196,명석,-0.1170261902238785,-52
197,나태,-0.16885943968111183,-92
198,태만,-0.10830078411076416,-117
199,과시적,-0.1862606259194921,-22
200,수줍,-0.03841614300344087,115
201,단순,-0.20303729014800131,34
202,진정,-0.12257922847168778,97
203,엉성,-0.15490699499805483,-63
204,느린,-0.043064920446698185,-11
205,교활,-0.13385711408083756,-23
206,의기양양,-0.16120443828249598,-40
207,속물적,-0.1750258995382532,72
208,사교성,-0.15617763616691915,114
209,여린,0.05025787045023833,197
210,헤픈,-0.04091873583746941,23
211,줏대,-0.13542500911616773,-31
212,자발적,-0.13111845869565175,34
213,용감,-0.10423824253270686,17
214,안정,-0.15082422977564924,-101
215,꾸준,-0.17035001293253837,-84
216,엄중,-0.13852606995579642,-122
217,인색,-0.11873380010543699,-54
218,둔감,-0.14990688703916466,-72
219,강력,-0.14118132937445127,-207
220,완고,-0.12380059724680348,-99
221,순종적,-0.16977956453333376,157
222,미신적,-0.1918334091104852,75
223,동정,0.00021275271580112332,201
224,재치,-0.056243935509828535,-32
225,수다,0.08152903595518213,193
226,긴장,-0.12549281689752378,-10
227,철저,-0.018749095827188533,-28
228,검소,-0.11782329470334152,17
229,소심,-0.07795353657246396,97
230,관대,-0.07965089695084027,54
231,터프,-0.06314517914408535,-149
232,믿,-0.10364916390428203,91
233,불운,-0.05046498480885386,49
234,파격적,-0.12557695215331632,-44
235,불성실,-0.2406550755335637,-99
236,이해,-0.23149849910028397,113
237,비우호적,-0.18289681053282592,-33
238,우둔,-0.10640585256783042,21
239,불친절,-0.11834391600521199,-53
240,비현실적,-0.1307264643645205,54
241,부도덕,-0.16637789263039937,-46
242,불안정,-0.16235440961135827,60
243,앙심,-0.14341539216216392,-3
244,다재다능,-0.19496134491292683,23
245,따뜻,-0.007033534132486974,159
246,나약,-0.20212741690031355,116
247,투덜,-0.14702581020698657,105
248,건전,-0.0950579853792135,35
249,지혜,-0.0034319523764851922,-84
250,걱정,-0.16353906172533295,72
251,엉뚱,0.0037742392802651015,45
